asin,authors,description,hash,isbn10,isbn13,publication_date,publication_year,site,title,url
B0DC63ZQ6H,"['bhanuprasad D', 'Bhanuprasad D']","Mastering Playwright with Python: From Basics to Advanced Framework DesignUnlock the full potential of test automation with Playwright and Python! This comprehensive guide takes you on a journey from the basics of Playwright to the advanced concepts of building robust and scalable test automation frameworks. Whether you're a beginner or an experienced tester, this book equips you with the knowledge and skills to master end-to-end testing using Playwright.What's Inside:Introduction to Playwright with Python:Discover why Playwright is the go-to choice for modern test automation and learn how to set up your environment for seamless test execution.Core Concepts of Playwright:Dive deep into the Playwright API and understand how to work with browser contexts, pages, and elements.Advanced Playwright Features:Handle complex scenarios such as iframes, file uploads/downloads, network request interception, and mobile device emulation with ease.Designing a Test Automation Framework:Learn key principles of framework design including modularity, maintainability, scalability, configurability, and robustness. Build a solid foundation for your test automation suite.Debugging and Handling Common Issues:Gain insights into effective debugging techniques and learn how to handle common issues like element not found, timeouts, authentication, and network issues.Integrating Playwright with Other Tools and Frameworks:Enhance your test automation capabilities by integrating Playwright with Jenkins for continuous integration, pytest for powerful test execution, Allure for detailed reporting, and CI/CD pipelines using GitHub Actions.Future Trends in Test Automation:Stay ahead of the curve with insights into future trends such as AI and machine learning in test automation, shift-left testing, and cloud-based testing.Additional Resources for Learning:Explore a curated list of resources to continue your learning journey and stay updated with the latest trends in test automation.Why Choose This Book?Comprehensive Coverage: From the basics to advanced techniques, this book covers everything you need to know about Playwright with Python.Practical Examples: Detailed coding examples and real-world scenarios help you apply what you've learned.Best Practices: Learn best practices for designing, maintaining, and scaling your test automation framework.Future-Proof: Stay updated with future trends and continuously improve your test automation strategy.Whether you're aiming to enhance your skills, improve your team's productivity, or deliver high-quality software faster, ""Mastering Playwright with Python"" is your ultimate guide to becoming a test automation expert.About the AuthorWith years of experience in test automation and software development, [Author's Name] shares practical insights and hands-on techniques to help you succeed in the ever-evolving field of test automation. Passionate about teaching and sharing knowledge, [Author's Name] has crafted this book to empower testers and developers to build robust, efficient, and scalable test automation frameworks.",49a9c22ea784fb9f93c1ed0aec2c4e1570cf4df6fef903ade62c700ef8f958c8,N/A,N/A,"August 4, 2024",2024,amazon,Mastering Playwright with Python: From Basics to Advanced Framework Design,https://www.amazon.com/Mastering-Playwright-Python-Advanced-Framework/dp/B0DC63ZQ6H/ref=sr_1_1?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.3NCSLFKmKYxL-jYI2awm4HtrqOrEIM7TqMEEL1eFleo&dib_tag=se&keywords=Playwright+Python&qid=1749169362&sr=8-1
149322302X,"['Johannes Ernesti', 'Peter Kaiser']","2023 IBPA Benjamin Franklin Award Gold Winner: Professional and Technical Category Ready to master Python? Learn to write effective code with this award-winning comprehensive guide, whether you’re a beginner or a professional programmer. Review core Python concepts, including functions, modularization, and object orientation and walk through the available data types. Then dive into more advanced topics, such as using Django and working with GUIs. With plenty of code examples throughout, this hands-on reference guide has everything you need to become proficient in Python!The complete Python 3 handbook  Learn basic Python principles and work with functions, methods, data types, and moreWalk through GUIs, network programming, debugging, optimization, and other advanced topicsConsult and download practical code examplesCoding with PythonLearn about Python syntax and structure. Follow examples to start developing and testing your own programs using downloadable code.The Standard LibraryExplore Python’s built-in library and see how it can be used for a variety of different tasks, from running your mathematical functions to debugging your code. Advanced Programming TechniquesAlready know the basics? Enhance your professional skills with more advanced concepts, including GUIs, Django, scientific computing, and connecting to other languages.",6f60807e35449e6f9413ea654222c3617d3e4ace2e0add7efc50084f0531eaaf,N/A,978-1493223022,"September 26, 2022",2022,amazon,Python 3: The Comprehensive Guide to Hands-On Python Programming (Rheinwerk Computing),https://www.amazon.com/Python-Comprehensive-Guide-Hands-Programming/dp/149322302X/ref=sr_1_2_sspa?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.3NCSLFKmKYxL-jYI2awm4HtrqOrEIM7TqMEEL1eFleo&dib_tag=se&keywords=Playwright+Python&qid=1749169362&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
B09DMW3QWN,['Brady Ellison'],"Ready to start this new journey into the Python’s world?Python is the ideal language to learn for budding developers. It is a modern object-oriented programming language with easy to read code and an extensive internet bank of modules.It offers high-level dynamic data types, many built-in functions, and operators, classes, garbage collection, and supports dynamic typing. Python runs on just about any device. Python is an OSI approved open-source software application that makes it free to download and install.Python For Beginners: A crash course to learn Python Programming in 1 Week will take you through the basics of getting started with Python programming step by step. This tutorial will teach you everything you need to know to get you to the next programming level.The book covers all the Python basics, with follow-along examples and exercises, giving you a hands-on learning approach. By the time you have made your way through the book, you will be ready to tackle the beginner’s and a few intermediate projects waiting for you at the end of it.This book covers where to and how to download and install Python. You will learn how to download and install PyCharm which is an integrated development environment where you will learn to write code. The content covers all the basics such as variables, statements, functions, keywords, data types, and more.Python For Beginners: A crash course to learn Python Programming in 1 Week has everything you need to learn to comfortably move on to more advanced programming. It is an entry-level tutorial guide that makes Python easy and fun to learn.Get your copy Now",3ec33fbc71b2417cbda6120c7e1a8698bbe9b1b4f0fa30c494150ba8d50485d7,N/A,N/A,"August 25, 2021",2021,amazon,Python for Beginners: A crash course to learn Python Programming in 1 Week (Programming Languages for Beginners),https://www.amazon.com/Python-Beginners-crash-course-Programming/dp/B09DMW3QWN/ref=sr_1_3_sspa?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.3NCSLFKmKYxL-jYI2awm4HtrqOrEIM7TqMEEL1eFleo&dib_tag=se&keywords=Playwright+Python&qid=1749169362&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
1492056359,['Luciano Ramalho'],"Don't waste time bending Python to fit patterns you've learned in other languages. Python's simplicity lets you become productive quickly, but often this means you aren't using everything the language has to offer. With the updated edition of this hands-on guide, you'll learn how to write effective, modern Python 3 code by leveraging its best ideas.  Discover and apply idiomatic Python 3 features beyond your past experience. Author Luciano Ramalho guides you through Python's core language features and libraries and teaches you how to make your code shorter, faster, and more readable.  Complete with major updates throughout, this new edition features five parts that work as five short books within the book: Data structures: Sequences, dicts, sets, Unicode, and data classes Functions as objects: First-class functions, related design patterns, and type hints in function declarations Object-oriented idioms: Composition, inheritance, mixins, interfaces, operator overloading, protocols, and more static types Control flow: Context managers, generators, coroutines, async/await, and thread/process pools Metaprogramming: Properties, attribute descriptors, class decorators, and new class metaprogramming hooks that replace or simplify metaclasses",e22fed27d5f03ae34b50edbad50dc10446e8ae90be4654ecff548bd8d97c5c0d,1492056359,978-1492056355,"May 10, 2022",2022,amazon,"Fluent Python: Clear, Concise, and Effective Programming",https://www.amazon.com/Fluent-Python-Concise-Effective-Programming/dp/1492056359/ref=sr_1_4?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.3NCSLFKmKYxL-jYI2awm4HtrqOrEIM7TqMEEL1eFleo&dib_tag=se&keywords=Playwright+Python&qid=1749169362&sr=8-4
B0DLNC9QXT,['Rogerio Ferreira'],1. Introdução2. O Ambiente3. Usando o GitHub4. README.md e Ambiente Virtual5. Iniciando o Repositório e o Primeiro Commit6. Integrando o VS Code com o GitHub e Fazendo o Push7. Playwright - Extraindo Dados da Internet8. Streamlit - Parte 1 (main.py)9. Streamlit - Parte 2 (1_empresas.py)10. Streamlit - Parte 3 (2_clientes.py)11. Deploy - Streamlit Community Cloud,a2a19466ae03fb642044189e168a2b11a862eb7a9a038679e8f21a574f7ac44d,N/A,N/A,"October 31, 2024",2024,amazon,"Bootcamp de Dados com Playwright, Python e Streamlit: Aprenda como fazer um Projeto Real de Dados (end-to-end): Extração, Análise, Visualização de Dados e Deploy em Produção (Portuguese Edition)",https://www.amazon.com/Bootcamp-Dados-Playwright-Python-Streamlit-ebook/dp/B0DLNC9QXT/ref=sr_1_5?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.3NCSLFKmKYxL-jYI2awm4HtrqOrEIM7TqMEEL1eFleo&dib_tag=se&keywords=Playwright+Python&qid=1749169362&sr=8-5
1801070490,['Brian Brian Lipp'],"Build scalable and reliable data ecosystems using Data Mesh, Databricks Spark, and KafkaKey FeaturesDevelop modern data skills used in emerging technologiesLearn pragmatic design methodologies such as Data Mesh and data lakehousesGain a deeper understanding of data governancePurchase of the print or Kindle book includes a free PDF eBookBook DescriptionModern Data Architectures with Python will teach you how to seamlessly incorporate your machine learning and data science work streams into your open data platforms. You’ll learn how to take your data and create open lakehouses that work with any technology using tried-and-true techniques, including the medallion architecture and Delta Lake.Starting with the fundamentals, this book will help you build pipelines on Databricks, an open data platform, using SQL and Python. You’ll gain an understanding of notebooks and applications written in Python using standard software engineering tools such as git, pre-commit, Jenkins, and Github. Next, you’ll delve into streaming and batch-based data processing using Apache Spark and Confluent Kafka. As you advance, you’ll learn how to deploy your resources using infrastructure as code and how to automate your workflows and code development. Since any data platform's ability to handle and work with AI and ML is a vital component, you’ll also explore the basics of ML and how to work with modern MLOps tooling. Finally, you’ll get hands-on experience with Apache Spark, one of the key data technologies in today’s market.By the end of this book, you’ll have amassed a wealth of practical and theoretical knowledge to build, manage, orchestrate, and architect your data ecosystems.What you will learnUnderstand data patterns including delta architectureDiscover how to increase performance with Spark internalsFind out how to design critical data diagramsExplore MLOps with tools such as AutoML and MLflowGet to grips with building data products in a data meshDiscover data governance and build confidence in your dataIntroduce data visualizations and dashboards into your data practiceWho this book is forThis book is for developers, analytics engineers, and managers looking to further develop a data ecosystem within their organization. While they’re not prerequisites, basic knowledge of Python and prior experience with data will help you to read and follow along with the examples.Table of ContentsModern Data Processing ArchitecturesBasics of Data Analytics EngineeringCloud Storage and Processing ConceptsPython Batch and Stream Processing with SparkStreaming Data with KafkaPython MLOpsPython and SQL based VisualizationsIntegrating CI into your workflowData OrchestrationData GovernanceIntroduction to Saturn Insurance, Deploying CI and ELTData Governance and Dashboards",26494ba01fc63a319a5a0ea675aedaac6cc8ee0e2f934cea4ebfd9b6220a987f,1801070490,N/A,"September 29, 2023",2023,amazon,"Modern Data Architectures with Python: A practical guide to building and deploying data pipelines, data warehouses, and data lakes with Python",https://www.amazon.com/Modern-Data-Architectures-Python-warehouses/dp/1801070490/ref=sr_1_6?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.3NCSLFKmKYxL-jYI2awm4HtrqOrEIM7TqMEEL1eFleo&dib_tag=se&keywords=Playwright+Python&qid=1749169362&sr=8-6
0571199917,['Stuart Spencer'],"An accessible, contemporary guide to the art of dramatic writingDuring the ten years that Stuart Spencer has taught playwriting, he has struggled to find an effective playwriting handbook for his courses. Although most of the currently popular handbooks have good ideas in them, they all suffer from the same problems: they're poorly organized; are composed mostly of quirky, idiosyncratic advice on how specific playwrights have gone about writing their own work; and are full of abstract theorizing on the nature of art. As a result, they fail to offer any concrete information on how to construct a well-written play or any useful guidelines and exercises. Moreover, few of these books are actually written by working playwrights. Out of frustration, Spencer wrote his own book. The result, The Playwright's Guidebook, is a clear, concise, and engaging handbook. Spencer addresses the important principles of structure, includes insightful writing exercises that build upon one another, explores the creative process, and troubleshoots recurrent problems that playwrights actually face.",3eabf4e796a227460ea754e03cdcc00f833dd1c3ee6dc3a4f90a0095e7355cc0,N/A,978-0571199914,"March 29, 2002",2002,amazon,The Playwright's Guidebook: An Insightful Primer on the Art of Dramatic Writing,https://www.amazon.com/Playwrights-Guidebook-Insightful-Dramatic-Writing/dp/0571199917/ref=sr_1_7?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.3NCSLFKmKYxL-jYI2awm4HtrqOrEIM7TqMEEL1eFleo&dib_tag=se&keywords=Playwright+Python&qid=1749169362&sr=8-7
B0DGT3Y71Y,"['Shawn Peters', 'Vibrant Publishers']","Learn Python the Easy Way with No Prior Experience!Key Features include:Comprehensive coverage of Python basicsIdeal for beginners and career changersReal-world applications and case studies Practical examples and quizzes for reinforcement Get ready to program with Python- one of the most in-demand skills of this decade! If you are interested in learning programming, but not sure where to start, Python Essentials You Always Wanted to Know  is your guide to learning Python, one of the most versatile and beginner-friendly programming languages. This book is designed with absolute beginners in mind, focusing on clear explanations and practical examples rather than technical jargon. Regardless of skill level, there’s something here for everyone, from the basics of programming logic to more advanced topics like object-oriented programming and error handling. Whether you’re a student, a professional transitioning into tech, or simply curious about coding, this book will help you to think like a programmer and enhance your programming skills.The book also includes a chapter dedicated to case studies, giving you the opportunity to practice and apply the discussed concepts. Additionally, you will gain exclusive access to an online glossary of functions and methods mentioned throughout the book to help you retain and understand crucial programming terms.After reading this book, you’ll be able to:Understand programming fundamentals and Python syntaxApply data structures, functions, and modular programmingImplement object-oriented principles in your projectsLeverage Python for data analysis and business insights  Part of Vibrant Publishers’ Self-Learning Management Series, the book serves as a valuable guide for developing programming skills to complement your existing expertise and advance your career.",2f1f2f4bc97314fdcf86f5ca77bfb70b8c148bdaf8b3c935e9e620cbd6a325b9,N/A,N/A,"December 9, 2024",2024,amazon,Python Essentials You Always Wanted to Know (Self-Learning Management Series),https://www.amazon.com/Python-Essentials-Always-Self-Learning-Management-ebook/dp/B0DGT3Y71Y/ref=sr_1_8?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.3NCSLFKmKYxL-jYI2awm4HtrqOrEIM7TqMEEL1eFleo&dib_tag=se&keywords=Playwright+Python&qid=1749169362&sr=8-8
1840029412,['Roy Smiles'],"See Cleese's first audition. Hear the simpering paternalism of David Frost. Be touched by the religious furore over the 'Life of Brian'. Comprehend the true meaning of the coconuts in 'Monty Python and the Holy Grail'!Pythonesque premiered at the Edinburgh Comedy Festival, in August 2009.",9f6f79cc43904af3ce956dd3b7a6acd21355a46f84ce8777bced5a226fe19ed2,1840029412,978-1840029413,"August 7, 2009",2009,amazon,Pythonesque (Oberon Modern Plays),https://www.amazon.com/Pythonesque-Oberon-Modern-Plays-Smiles/dp/1840029412/ref=sr_1_9?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.3NCSLFKmKYxL-jYI2awm4HtrqOrEIM7TqMEEL1eFleo&dib_tag=se&keywords=Playwright+Python&qid=1749169362&sr=8-9
1617295450,['Miguel Morales'],"Grokking Deep Reinforcement Learning uses engaging exercises to teach you how to build deep learning systems. This book combines annotated Python code with intuitive explanations to explore DRL techniques. You’ll see how algorithms function and learn to develop your own DRL agents using evaluative feedback.Summary We all learn through trial and error. We avoid the things that cause us to experience pain and failure. We embrace and build on the things that give us reward and success. This common pattern is the foundation of deep reinforcement learning: building machine learning systems that explore and learn based on the responses of the environment. Grokking Deep Reinforcement Learning introduces this powerful machine learning approach, using examples, illustrations, exercises, and crystal-clear teaching. You'll love the perfectly paced teaching and the clever, engaging writing style as you dig into this awesome exploration of reinforcement learning fundamentals, effective deep learning techniques, and practical applications in this emerging field.  Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications.  About the technology We learn by interacting with our environment, and the rewards or punishments we experience guide our future behavior. Deep reinforcement learning brings that same natural process to artificial intelligence, analyzing results to uncover the most efficient ways forward. DRL agents can improve marketing campaigns, predict stock performance, and beat grand masters in Go and chess.  About the book Grokking Deep Reinforcement Learning uses engaging exercises to teach you how to build deep learning systems. This book combines annotated Python code with intuitive explanations to explore DRL techniques. You’ll see how algorithms function and learn to develop your own DRL agents using evaluative feedback.  What's inside An introduction to reinforcement learning DRL agents with human-like behaviors Applying DRL to complex situations  About the reader For developers with basic deep learning experience.  About the author Miguel Morales works on reinforcement learning at Lockheed Martin and is an instructor for the Georgia Institute of Technology’s Reinforcement Learning and Decision Making course.  Table of Contents  1 Introduction to deep reinforcement learning  2 Mathematical foundations of reinforcement learning  3 Balancing immediate and long-term goals  4 Balancing the gathering and use of information  5 Evaluating agents’ behaviors  6 Improving agents’ behaviors  7 Achieving goals more effectively and efficiently  8 Introduction to value-based deep reinforcement learning  9 More stable value-based methods  10 Sample-efficient value-based methods  11 Policy-gradient and actor-critic methods  12 Advanced actor-critic methods  13 Toward artificial general intelligence",2e33615a0fb579bb507260c926b50e8292d21a6f0f3a6db5e0d5d3d8c3679509,1617295450,N/A,"November 10, 2020",2020,amazon,Grokking Deep Reinforcement Learning,https://www.amazon.com/Grokking-Reinforcement-Learning-Miguel-Morales/dp/1617295450/ref=sr_1_10_sspa?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.3NCSLFKmKYxL-jYI2awm4HtrqOrEIM7TqMEEL1eFleo&dib_tag=se&keywords=Playwright+Python&qid=1749169362&sr=8-10-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
1633436470,['Brett Kennedy'],"Learn how to identify the unusual, interesting, extreme, or inaccurate parts of your data.Data scientists have two main tasks: finding patterns in data and finding the exceptions. These outliers are often the most informative parts of data, revealing hidden insights, novel patterns, and potential problems. Outlier Detection in Python is a practical guide to spotting the parts of a dataset that deviate from the norm, even when they're hidden or intertwined among the expected data points. In Outlier Detection in Python you'll learn how to: • Use standard Python libraries to identify outliers • Select the most appropriate detection methods • Combine multiple outlier detection methods for improved results • Interpret your results effectively • Work with numeric, categorical, time series, and text data  Outlier detection is a vital tool for modern business, whether it's discovering new products, expanding markets, or flagging fraud and other suspicious activities. This guide presents the core tools for outlier detection, as well as techniques utilizing the Python data stack familiar to data scientists. To get started, you'll only need a basic understanding of statistics and the Python data ecosystem.  Purchase of the print book includes a free eBook in PDF and ePub formats from Manning Publications.  About the technology  Outliers—values that appear inconsistent with the rest of your data—can be the key to identifying fraud, performing a security audit, spotting bot activity, or just assessing the quality of a dataset. This unique guide introduces the outlier detection tools, techniques, and algorithms you’ll need to find, understand, and respond to the anomalies in your data.  About the book  Outlier Detection in Python illustrates the principles and practices of outlier detection with diverse real-world examples including social media, finance, network logs, and other important domains. You’ll explore a comprehensive set of statistical methods and machine learning approaches to identify and interpret the unexpected values in tabular, text, time series, and image data. Along the way, you’ll explore scikit-learn and PyOD, apply key OD algorithms, and add some high value techniques for real world OD scenarios to your toolkit.  What's inside • Python libraries to identify outliers • Combine outlier detection methods • Interpret your results About the reader  For Python programmers familiar with tools like pandas and NumPy, and the basics of statistics.  About the author  Brett Kennedy is a data scientist with over thirty years’ experience in software development and data science.  Table fo Contents  Part 1 1 Introducing outlier detection 2 Simple outlier detection 3 Machine learning-based outlier detection 4 The outlier detection process Part 2 5 Outlier detection using scikit-learn 6 The PyOD library 7 Additional libraries and algorithms for outlier detection Part 3 8 Evaluating detectors and parameters 9 Working with specific data types 10 Handling very large and very small datasets 11 Synthetic data for outlier detection 12 Collective outliers 13 Explainable outlier detection 14 Ensembles of outlier detectors 15 Working with outlier detection predictions Part 4 16 Deep learning-based outlier detection 17 Time-series data",9fb4220759acae36cb21da87d1366da286730150229fa518ffd8cfe14de014a0,N/A,978-1633436473,"January 7, 2025",2025,amazon,Outlier Detection in Python,https://www.amazon.com/Outlier-Detection-Python-Brett-Kennedy/dp/1633436470/ref=sr_1_11_sspa?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.3NCSLFKmKYxL-jYI2awm4HtrqOrEIM7TqMEEL1eFleo&dib_tag=se&keywords=Playwright+Python&qid=1749169362&sr=8-11-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
106854791X,['Dan Maskins'],"No degree? No experience? No idea where to start? This book is for you!Tech jobs pay well and offer freedom, but job postings demand experience you don’t have. Maybe you’ve thought about a computer science degree or a bootcamp—but here’s the truth: neither truly prepares you for real jobs.This isn’t another success story you can’t replicate or a dry coding book. Instead, you'll dive into a fiction story that cleverly weaves in complicated tech terms, making them easy to grasp. Designed specifically for those with absolutely no prior programming experience or understanding of the tech industry, this book is definitely not for seasoned developers.Consider this your action plan—a step-by-step guide to gaining real experience, proving your skills, and getting hired fast. Forget meaningless exercises, ""hello world"" projects, or endless courses—this is about a practical strategy to break into the tech industry.Inside, you'll discover:How to start from zero—without a degree, bootcamp, or prior experienceWhy degrees and bootcamps often fall short—and what to do insteadHow to gain real experience that employers actually valueHow to prove your skills—so companies want to hire you, no waiting requiredHow to use AI to learn faster and stand outHow to get hired—without wasting time on the broken, traditional pathYou don’t need permission, a diploma, or another tutorial to start your tech career. Real-world experience is the key to landing a tech job—and this book will show you exactly where to get it.Ready to write your own success story? Greenlight your career in tech today! 🚦",6f0b3629fd49dccf6766198cbcbe6b910b2abe0de8ce420e54abfba520fd9629,N/A,978-1068547911,"February 21, 2025",2025,amazon,Greenlight Your Tech Career: Beginner’s Guide to Self-Taught Programming After the AI Revolution and Getting Hired Fast Without a Degree Through Real-World Coding Experience,https://www.amazon.com/Greenlight-Your-Tech-Career-Self-Taught/dp/106854791X/ref=sr_1_12_sspa?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.3NCSLFKmKYxL-jYI2awm4HtrqOrEIM7TqMEEL1eFleo&dib_tag=se&keywords=Playwright+Python&qid=1749169362&sr=8-12-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
